,arrivals_exponential_rate,services_exponential_rate,number_of_stations,queue_size_avg,wait_time_avg,response_time_avg,end_to_end_delay_avg,drop_probabilities,queue_capacity
3325,460,950;950;950,3,0.43738090078646036;0.4529498745774402;0.43531663037208984,0.0009533105097512557;0.000987451604844541;0.0009491093983134483,0.0020028660186366806;0.0020440372854182787;0.0019985000950338725,0.006045191317627478;0.0;0.0,0.00012;0.00023002990388750537;7.002520907526709e-05,10.0
3326,460,960;960;960,3,0.4427420493484793;0.4404612657670377;0.4238452011657157,0.0009630631976683074;0.0009584153374628971;0.0009223723438851725,0.002006441440813163;0.0020017573726985433;0.0019591026157957975,0.005967379131556054;0.0;0.0,0.00022;0.0003100713164027726;0.00011005943209333039,10.0
3327,460,970;970;970,3,0.4170579259920378;0.4166161246166129;0.4145185875742021,0.0009071918052267244;0.0009063158943408063;0.0009018381308463927,0.0019378718121444369;0.001937539056206737;0.001924319189657477,0.005799937462609624;0.0;0.0,0.00014;0.00010001600256040966;8.002080540940644e-05,10.0
3328,460,980;980;980,3,0.4167950842665666;0.4227517705084024;0.41317382288892,0.0009020184561585182;0.0009150313862803872;0.000894487837499846,0.0019178814850614539;0.0019391521084967235;0.0019091687372264942,0.005766367848436447;0.0;0.0,0.00014;0.00013002080332853255;0.00019005511598363525,10.0
3329,460,990;990;990,3,0.39892014283766514;0.3966341582475977;0.38442664638059143,0.0008710303260622728;0.0008660887749357838;0.0008394057606236828,0.001880710161112052;0.001872574960767178;0.0018419741159092131,0.005595243727753546;0.0;0.0,0.00011;8.000960115213825e-05;5.001000200040008e-05,10.0
3330,470,100;100;100,3,9.733488140434545;4.740916414679602;3.5219349857199065,0.09759155663835879;0.05206027827407587;0.04028562648622028,0.10761976809953665;0.06215807276371771;0.050240608423956855,0.22407310648668494;0.0;0.0,0.78768;0.08651807172140803;0.039686225937967695,10.0
3331,470,110;110;110,3,9.690456556129828;4.521900033467495;3.5954753623647,0.08833917693280491;0.04499404884525536;0.03743715452985052,0.09745775183488338;0.0540669772527161;0.04649267739563869,0.20192329107086185;0.0;0.0,0.76601;0.0835898751496494;0.044020166184296515,10.0
3332,470,120;120;120,3,9.655741926653533;4.47039794584044;3.83592828303379,0.08009136224576296;0.040202175221752255;0.03652835636306048,0.08838668737898128;0.048395174228996744;0.04497393500907101,0.1852295740430472;0.0;0.0,0.74458;0.07731777055344483;0.055567347285307975,10.0
3333,470,130;130;130,3,9.621145823580742;4.475031951599138;3.823368290648769,0.07402364993216218;0.03748996549907872;0.03367646319230574,0.08171888919510532;0.04512148652289116;0.041538986605833765,0.17153908270581453;0.0;0.0,0.72379;0.0813473379210431;0.04870257906774982,10.0
3334,470,140;140;140,3,9.572657091895334;4.658624869213358;3.650722229473537,0.0683988569662158;0.03640992165310677;0.029870128785457823,0.07554499075549152;0.04359499012419429;0.0370701072622423,0.15924842427742936;0.0;0.0,0.70311;0.08558528202709077;0.04442068787554835,10.0
